,name,open_gross,open_thea,budget,runtime,MPAArating,Sci-Fi,Adventure,Action,Animation,Musical,Comedy,Fantasy,Thriller,Horror,Drama,Romance,Historical,Western,Family,Crime,Concert,Documentary,Sports,War,Director_gross,Actor_gross,studio_gross,mean_score_mtc,comment_count_mtc,trend_a_week,trend_two_week,trend_a_day,hot_season,tier-a-series,strong_competition
0,Rogue One: A Star Wars Story,155081681,4157,200.0,133,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215547400.0,54776000.0,8400.8,68.24,50.0,588.7609778,144.1023372,1758.048514,1,1,0
1,Finding Dory,135060273,4305,200.0,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910476100.0,633317000.0,8400.8,78.87804878,41.0,303.5110421,130.07616090000002,573.298635,1,1,0
2,Captain America: Civil War,179139142,4226,250.0,147,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382200500.0,2343813400.0,8400.8,77.0,51.0,350.7238708,182.1066252,519.3411164,1,1,1
3,The Secret Life of Pets,104352905,4370,75.0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950301900.0,494230700.0,7358.0,64.86111111,36.0,145.01083119999998,77.56393297,283.2769726,1,0,0
4,The Jungle Book (2016),103261464,4028,175.0,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199205500.0,2981235800.0,8400.8,78.56410256,39.0,165.2449007,70.81924315,236.0641438,0,1,1
5,Deadpool,132434639,3558,58.0,106,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,67.10869565,46.0,391.19200980000005,171.9895905,708.1924315,0,1,0
6,Zootopia,75063401,3827,150.0,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210339300.0,400015500.0,8400.8,79.93103448,29.0,92.73948507,48.22453224,155.8023349,0,0,0
7,Batman v Superman: Dawn of Justice,166007347,4242,250.0,151,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900970500.0,620536600.0,8521.9,48.7,50.0,608.3710221,200.3172878,1168.517512,0,1,0
8,Suicide Squad,133682248,4255,175.0,130,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187218500.0,4364095100.0,8521.9,47.2745098,51.0,696.8789028,279.3938458,1213.918089,0,1,0
9,Sing,35258145,4022,75.0,110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73389600.0,2193513600.0,7358.0,59.6,20.0,154.14832869999998,73.86274085,247.27961069999998,1,0,0
10,Moana,56631401,3875,150.0,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,2485880000.0,8400.8,80.65714286,35.0,112.399823,44.95992921,179.83971680000002,1,0,1
11,Fantastic Beasts and Where To Find Them,74403387,4144,180.0,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1499282300.0,319579600.0,8521.9,67.41304348,46.0,597.3247738,138.0912111,606.9590444,1,1,1
12,Doctor Strange,85058311,3882,165.0,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289334900.0,1345296200.0,8400.8,72.67391304,46.0,166.0305957,93.58088123,295.83633419999995,1,1,1
13,The Revenant,39826840,3375,135.0,151,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,79.89361702,47.0,233.70350240000002,259.6705582,259.6705582,0,0,0
14,Jason Bourne,59215365,4026,120.0,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746985000.0,4169961300.0,7358.0,60.57446809,47.0,96.44906448,51.93411164,155.8023349,1,1,0
15,Star Trek Beyond,59253211,3928,185.0,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786764600.0,140328100.0,5566.0,69.16666667,42.0,79.07261359,31.23856339,157.16902209999998,1,1,1
16,X-Men: Apocalypse,65769562,4150,178.0,143,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,54.64444444,45.0,144.47835569999998,81.0250238,191.33620080000003,1,1,1
17,Trolls,46581142,4060,125.0,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,741504100.0,6160.9,58.90322581,31.0,86.03403597,54.33728588,116.22141699999999,1,0,1
18,La La Land,9242782,734,30.0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,574899400.0,3903.3,90.66666667,51.0,140.5421938,117.61687140000002,174.43180080000002,1,0,0
19,Kung Fu Panda 3,41282042,3955,145.0,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,68.27272727,22.0,38.07199914,22.45271744,54.66748594,0,1,0
20,Ghostbusters (2016),46018755,3963,144.0,108,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,511895300.0,3860613600.0,6438.3,63.52941176,51.0,205.0030723,80.0488187,273.3374297,1,0,1
21,Central Intelligence,35535250,3508,50.0,107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,2485880000.0,8521.9,55.62068966,29.0,44.00065941,13.71449125,104.0015586,1,0,0
22,The Legend of Tarzan,38527856,3561,180.0,109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499282300.0,71715300.0,8521.9,46.91428571,35.0,63.42952201,35.42910239,132.00197820000002,1,0,0
23,Sully,35028301,3525,60.0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3032890100.0,1673159100.0,8521.9,76.31578947,38.0,89.70778328,43.85713849,125.59089660000001,0,0,1
24,Bad Moms,23817340,3215,20.0,101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28884600.0,1127614700.0,63.9,62.5862069,29.0,71.42964191,34.85766525,144.0021581,1,0,0
25,The Angry Birds Movie,38155177,3932,73.0,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,831158200.0,6438.3,45.125,24.0,55.42940212,26.28610822,68.00101909,1,0,1
26,Independence Day: Resurgence,41039944,4130,165.0,120,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,49.16666667,12.0,70.71534549,33.42907241,108.0016186,1,0,1
27,The Conjuring 2,40406314,3343,40.0,134,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,8521.9,64.02941176,34.0,108.0016186,37.28627308,261.0039115,1,0,0
28,Arrival,24074047,2317,47.0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119144600.0,2057151400.0,5566.0,82.18367347,49.0,66.4855557,21.75890914,143.850566,1,0,1
29,Passengers (2016),14869736,3478,110.0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101643100.0,2398479000.0,6438.3,47.02941176,34.0,79.78266684,30.22070713,160.77416200000002,1,0,0
30,Sausage Party,34263534,3103,19.0,89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112198200.0,2301635600.0,6438.3,69.14705882,34.0,123.3004851,55.60610113,245.3921419,0,0,1
31,The Magnificent Seven (2016),34703397,3674,90.0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,687850100.0,524922100.0,6438.3,56.92857143,42.0,85.10151129,42.55075565,134.9656781,0,0,1
32,Ride Along 2,35243095,3175,40.0,101,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,878623100.0,976461400.0,7358.0,38.0,24.0,41.14347374,19.28600331,63.00094416,0,0,0
33,Don't Breathe,26411706,3051,9.9,88,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6438.3,71.21621622,37.0,79.11781128,31.91306673,162.8896115,0,0,1
34,Miss Peregrine's Home for Peculiar Children,28871140,3522,110.0,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,60.78787879,33.0,54.51815567,25.92936672,93.07977798,0,0,1
35,The Accountant,24710273,3332,44.0,128,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129761700.0,2802280500.0,8521.9,55.36585366,41.0,42.55075565,17.28624448,79.11781128,0,0,1
36,Teenage Mutant Ninja Turtles: Out of the Shadows,35316382,4071,135.0,112,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43022600.0,1225131200.0,5566.0,46.30434783,23.0,33.42907241,19.28600331,63.00094416,1,0,0
37,The Purge: Election Year,31515110,2796,10.0,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,969610800.0,7358.0,58.782608700000004,23.0,95.14428302,28.28613819,258.0038666,1,0,0
38,Alice Through the Looking Glass,26858726,3763,170.0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,695292902.0,4452794800.0,8400.8,39.34146341,41.0,49.71503077,23.14320398,90.0013488,1,0,1
39,Pete's Dragon (2016),21514095,3702,65.0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,695292902.0,1781668600.0,8400.8,72.12121212,33.0,48.61873312,21.42520443,74.98821550000001,0,0,1
40,The Girl on the Train (2016),24536265,3144,45.0,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225016700.0,1071957700.0,7358.0,53.33333333,45.0,109.5981611,62.62752063,167.28140380000002,0,0,1
41,Boo! A Madea Halloween,28501448,2260,20.0,103,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,888316000.0,1026579400.0,3903.3,34.5,4.0,72.0,34.0,127.0,0,0,1
42,Storks,21311407,3922,70.0,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339868300.0,691029200.0,8521.9,58.28,25.0,26.36948237,10.71260221,46.14659415,0,0,1
43,10 Cloverfield Lane,24727437,3391,15.0,105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,516469900.0,5566.0,77.27777778,36.0,104.5729958,46.28640796,210.0031472,0,0,0
44,Lights Out,21688103,2818,4.9,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,695292902.0,431399700.0,8521.9,60.68965517,29.0,89.1441931,42.85778514,216.00323709999998,1,0,1
45,Hacksaw Ridge,15190758,2886,40.0,131,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,810109500.0,659046600.0,3903.3,72.30232558,43.0,62.62752063,41.20231621,115.3664854,1,0,1
46,The Divergent Series: Allegiant,29027348,3740,110.0,121,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,3903.3,39.375,24.0,31.61639888,16.15949276,51.64011816,0,0,1
47,Now You See Me 2,22383146,3232,90.0,129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,3903.3,51.88461538,26.0,46.01942503,23.18535918,86.06686361,1,0,0
48,Ice Age: Collision Course,21373064,3992,105.0,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,40.33333333,24.0,19.67242597,10.53879963,24.59053246,1,0,1
49,The Boss,23586645,3480,29.0,99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1018938000.0,7358.0,43.90909091,33.0,48.12718496,21.07759925,88.52591685,0,0,1
50,London Has Fallen,21635601,3490,60.0,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1248318500.0,616.1,35.6,30.0,29.24516896,12.64655955,66.39443764,0,0,0
51,Miracles from Heaven,14812393,3047,13.0,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6438.3,49.33333333,3.0,40.31090857,21.34106924,60.86156784,0,0,0
52,Deepwater Horizon,20223544,3259,110.0,107,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,3903.3,68.6,45.0,22.24925075,11.53664854,34.60994561,0,0,1
53,Why Him?,11002986,2917,38.0,111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,2740730100.0,6160.9,43.2,25.0,72.0,34.0,127.0,1,0,0
54,My Big Fat Greek Wedding 2,17861950,3133,18.0,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164431400.0,739599800.0,7358.0,44.03703704,27.0,37.14926868,19.7602493,71.92730744,0,0,0
55,Jack Reacher: Never Go Back,22872490,3780,60.0,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,798602500.0,6209566700.0,5566.0,50.15789474,38.0,14.79359353,6.631610894,24.99607183,0,0,1
56,Fences,11600170,2233,24.0,138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69281700.0,3522029100.0,5566.0,79.04878049,41.0,72.0,34.0,127.0,1,0,0
57,Me Before You,18723269,2704,20.0,110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,8521.9,57.0,32.0,98.01083652,56.90951798,193.6504431,1,0,0
58,The BFG,18775350,3357,140.0,117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9378314500.0,124177700.0,8400.8,67.94871795,39.0,66.02489532,36.45124429,139.61514319999998,1,0,0
59,Neighbors 2: Sorority Rising,21760405,3384,35.0,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339868300.0,945566600.0,7358.0,59.54545455,33.0,43.32883755,19.25726113,77.02904454,1,0,1
60,The Shallows,16800868,2962,17.0,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,298740100.0,490922700.0,6438.3,60.60714286,28.0,98.34958365,31.63692901,202.2012419,1,0,1
61,Office Christmas Party,17500000,3210,45.0,105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185135400.0,1924412900.0,5566.0,47.9375,32.0,72.0,34.0,127.0,1,0,1
62,Assassin's Creed,10278225,2970,125.0,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1128245900.0,6160.9,42.66666667,24.0,68.86672852,32.13780664,149.97643100000002,1,0,0
63,Barbershop: The Next Cut,20242415,2661,20.0,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1896217400.0,8521.9,67.83333333,24.0,22.69605776,10.31638989,38.51452227,0,0,1
64,13 Hours: The Secret Soldiers of Benghazi,16194738,2389,50.0,144,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2973554300.0,436240700.0,5566.0,54.10344828,29.0,70.09076663,35.04538331,115.96835929999999,0,0,0
65,The Huntsman: Winter's War,19445035,3791,115.0,114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1999313200.0,7358.0,41.35897436,39.0,52.24948058,27.39911786,80.28578723,0,0,1
66,Kubo and the Two Strings,12608372,3260,60.0,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,2193513600.0,616.1,82.36363636,33.0,34.68842622,19.89483268,67.84648069,0,0,0
67,Manchester by the Sea,4223828,1206,9.0,135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14804800.0,1077103900.0,166.7,94.36734694,49.0,73.33031277,55.26342412,66.95376384,1,0,0
68,Warcraft,24166110,3400,160.0,123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66613600.0,490398600.0,7358.0,38.47368421,38.0,103.22458359999999,53.52385815,191.793825,1,0,0
69,How to Be Single,17878911,3343,38.0,110,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,8521.9,57.34782609,23.0,41.41727119,15.292530900000001,75.82546571,0,0,0
70,Mike and Dave Need Wedding Dates,16628170,2982,33.0,98,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6160.9,55.15384615,26.0,52.14753037,30.551078399999998,95.86717704,1,0,0
71,War Dogs,14685305,3258,50.0,114,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1222923300.0,2848641100.0,8521.9,58.93939394,33.0,46.22997979,21.25516312,100.4306458,0,0,0
72,Almost Christmas,15134235,2376,17.0,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,2714989600.0,7358.0,55.1,20.0,28.69447022,10.09620248,85.55203157,1,0,1
73,Money Monster,14788157,3104,27.0,95,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,695292902.0,2816424500.0,6438.3,63.0,29.0,24.75690836,6.8476555029999995,73.74398234,1,0,1
74,Allied,12701743,3160,85.0,121,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3866168400.0,1267325900.0,5566.0,63.94594595,37.0,72.0,34.0,127.0,1,0,1
75,Nerve,9445456,2538,19.0,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,182071700.0,815367500.0,3903.3,58.33333333,15.0,61.62889953,27.39062201,140.11356640000002,1,0,1
76,Risen,11801271,2915,20.0,107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648015100.0,1706252291.0,6438.3,58.0,18.0,40.55919029,21.59645197,77.43118146,0,0,0
77,The Nice Guys,11203270,2865,50.0,116,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,441769300.0,574899400.0,8521.9,72.74418605,43.0,29.26348506,10.24221977,71.69553839,1,0,1
78,The Boy (2016),10778392,2671,10.0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91529400.0,1706252291.0,63.9,45.0,2.0,64.37966712,43.89522758,92.17997793,0,0,0
79,Dirty Grandpa,11111875,2912,25.0,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,5429019700.0,3903.3,28.75,4.0,35.11618207,13.16856828,61.45331862,0,0,0
80,Ouija: Origin of Evil,14065500,3167,9.0,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29690100.0,1706252291.0,7358.0,66.75,24.0,28.16309114,9.564823405,48.3554961,0,0,1
81,The 5th Wave,10326356,2908,38.0,112,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,815272100.0,6438.3,41.4375,16.0,52.6742731,38.04253057,81.93775816,0,0,0
82,Inferno,14860425,3576,75.0,121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3328245400.0,7411925200.0,6438.3,47.95121951,41.0,44.63584256,26.5689539,74.39307093,0,0,1
83,Mother's Day,8369184,3035,25.0,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1761809300.0,1924412900.0,542.6,25.58333333,24.0,380.4253057,226.79200919999997,440.41545010000004,0,0,1
84,Gods of Egypt,14123903,3117,140.0,127,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695292902.0,1607900100.0,3903.3,31.35294118,17.0,33.65300781,14.63174253,71.69553839,0,0,0
85,Collateral Beauty,7102085,3028,36.0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,4364095100.0,8521.9,31.35294118,34.0,72.0,34.0,127.0,1,0,0
86,"Hail, Caesar!",11355225,2232,22.0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,445486500.0,1933777200.0,7358.0,73.76744186,43.0,36.57935632,13.16856828,71.69553839,0,0,0
87,When the Bough Breaks,14202323,2246,10.0,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,6438.3,58.0,29.0,32.41412376,19.66102589,59.51445674,0,0,1
88,Zoolander 2,13841146,3394,55.0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439921200.0,1022371800.0,5566.0,41.14705882,34.0,51.21109885,17.55809103,102.42219770000001,0,0,0
89,Moonlight (2016),1488740,650,4.0,110,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,1861678500.0,96.8,96.30434783,46.0,55.04309621,49.01647983,53.43599851,1,0,1
90,The Finest Hours,10288932,3143,80.0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100951500.0,652865600.0,8400.8,60.41935484,31.0,34.6858367,17.34291835,50.90985709,0,0,0
91,Florence Foster Jenkins,6601313,1528,29.0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,377665200.0,924238100.0,5566.0,71.42857143,35.0,28.12420974,16.47275142,56.24841948,0,0,1
92,Hell or High Water,3551931,909,12.0,102,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,695292902.0,2840726600.0,3903.3,86.53488372,43.0,38.57034479,29.73130744,33.74905169,0,0,1
93,The Forest,12741176,2451,10.0,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,695292902.0,1706252291.0,616.1,39.3,10.0,40.83977547,22.93740814,58.742142799999996,0,0,0
94,Ben-Hur (2016),11203815,3084,100.0,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,211884000.0,650489100.0,5566.0,41.09090909,22.0,55.44487063,23.70469107,112.496839,0,0,0
