rank,name,name_link,total_gross,total_thea,open_gross,open_thea,open_date,close_date,budget,studio,genre,runtime,MPAArating,Director_list,Director_links,Writer_list,Writer_links,Actor_list,Actor_links,Producer_list,Producer_links,Cinematographer_list,Cinematographer_links,Composer_list,Composer_links
1,Rogue One: A Star Wars Story,http://www.boxofficemojo.com//movies/?id=starwars2016.htm,532177324,4157,155081681,4157,12/16,5/4,$200 million,BV,Sci-Fi Adventure,2 hrs. 13 min.,PG-13,Gareth Edwards | ,/people/chart/?view=Director&id=garethedwards.htm | ,Chris Weitz | Tony Gilroy | ,/people/chart/?view=Writer&id=chrisweitz.htm | /people/chart/?view=Writer&id=tonygilroy.htm | ,Felicity Jones | Mads Mikkelsen | Alan Tudyk | Donnie Yen | Forest Whitaker | Diego Luna | Anthony Daniels* | ,/people/chart/?view=Actor&id=felicityjones.htm | /people/chart/?view=Actor&id=madsmikkelsen.htm | /people/chart/?view=Actor&id=alantudyk.htm | /people/chart/?view=Actor&id=donnieyen.htm | /people/chart/?view=Actor&id=forestwhitaker.htm | /people/chart/?view=Actor&id=diegoluna.htm | /people/chart/?view=Actor&id=anthonydaniels.htm | ,Kathleen Kennedy | ,/people/chart/?view=Producer&id=kathleenkennedy.htm | ,Greig Fraser | ,/people/chart/?view=Cinematographer&id=greigfraser.htm | ,Michael Giacchino | ,/people/chart/?view=Composer&id=michaelgiacchino.htm | 
3,Captain America: Civil War,http://www.boxofficemojo.com//movies/?id=marvel2016.htm,408084349,4226,179139142,4226,5/6,9/22,$250 million,BV,Action / Adventure,2 hrs. 27 min.,PG-13,Anthony Russo | Joe Russo | ,/people/chart/?view=Director&id=anthonyrusso.htm | /people/chart/?view=Director&id=joerusso.htm | ,Christopher Markus | Stephen McFeely | ,/people/chart/?view=Writer&id=christophermarkus.htm | /people/chart/?view=Writer&id=stephenmcfeely.htm | ,"Chris Evans | Robert Downey, Jr. | Scarlett Johansson | Sebastian Stan | Anthony Mackie | Paul Bettany | Jeremy Renner | Don Cheadle | Elizabeth Olsen | Paul Rudd | Chadwick Boseman | Frank Grillo | William Hurt | Martin Freeman | Tom Holland | Marisa Tomei | ",/people/chart/?view=Actor&id=chrisevans.htm | /people/chart/?view=Actor&id=robertdowneyjr.htm | /people/chart/?view=Actor&id=scarlettjohansson.htm | /people/chart/?view=Actor&id=sebastianstan.htm | /people/chart/?view=Actor&id=anthonymackie.htm | /people/chart/?view=Actor&id=paulbettany.htm | /people/chart/?view=Actor&id=jeremyrenner.htm | /people/chart/?view=Actor&id=doncheadle.htm | /people/chart/?view=Actor&id=elizabetholsen.htm | /people/chart/?view=Actor&id=paulrudd.htm | /people/chart/?view=Actor&id=chadwickboseman.htm | /people/chart/?view=Actor&id=frankgrillo.htm | /people/chart/?view=Actor&id=williamhurt.htm | /people/chart/?view=Actor&id=martinfreeman.htm | /people/chart/?view=Actor&id=tomholland.htm | /people/chart/?view=Actor&id=marisatomei.htm | ,Kevin Feige | ,/people/chart/?view=Producer&id=kevinfeige.htm | ,,,Henry Jackman | ,/people/chart/?view=Composer&id=henryjackman.htm | 
5,The Jungle Book (2016),http://www.boxofficemojo.com//movies/?id=junglebook2015.htm,364001123,4144,103261464,4028,4/15,9/29,$175 million,BV,Adventure,1 hrs. 45 min.,PG,Jon Favreau | ,/people/chart/?view=Director&id=jonfavreau.htm | ,Justin Marks | ,/people/chart/?view=Writer&id=justinmarks.htm | ,Scarlett Johansson | Idris Elba | Lupita Nyong'o | Ben Kingsley | Christopher Walken | Bill Murray | ,/people/chart/?view=Actor&id=scarlettjohansson.htm | /people/chart/?view=Actor&id=idriselba.htm | /people/chart/?view=Actor&id=lupitanyongo.htm | /people/chart/?view=Actor&id=benkingsley.htm | /people/chart/?view=Actor&id=christopherwalken.htm | /people/chart/?view=Actor&id=billmurray.htm | ,,,Bill Pope | ,/people/chart/?view=Cinematographer&id=billpope.htm | ,John Debney | ,/people/chart/?view=Composer&id=johndebney.htm | 
7,Zootopia,http://www.boxofficemojo.com//movies/?id=disney2016.htm,341268248,3959,75063401,3827,3/4,8/4,N/A,BV,Animation,1 hrs. 48 min.,PG,Rich Moore | ,/people/chart/?view=Director&id=richmoore.htm | ,,,Ginnifer Goodwin | Jason Bateman | Idris Elba | Octavia Spencer | Bonnie Hunt | Alan Tudyk | ,/people/chart/?view=Actor&id=ginnifergoodwin.htm | /people/chart/?view=Actor&id=jasonbateman.htm | /people/chart/?view=Actor&id=idriselba.htm | /people/chart/?view=Actor&id=octaviaspencer.htm | /people/chart/?view=Actor&id=bonniehunt.htm | /people/chart/?view=Actor&id=alantudyk.htm | ,,,,,Michael Giacchino | ,/people/chart/?view=Composer&id=michaelgiacchino.htm | 
9,Suicide Squad,http://www.boxofficemojo.com//movies/?id=dc2016.htm,325100054,4255,133682248,4255,8/5,11/10,$175 million,WB,Action / Adventure,2 hrs. 10 min.,PG-13,David Ayer | ,/people/chart/?view=Director&id=davidayer.htm | ,David Ayer | ,/people/chart/?view=Writer&id=davidayer.htm | ,Will Smith | Margot Robbie | Jared Leto | Jai Courtney | Cara Delevigne | Viola Davis | Common | Ben Affleck* | ,/people/chart/?view=Actor&id=willsmith.htm | /people/chart/?view=Actor&id=margotrobbie.htm | /people/chart/?view=Actor&id=jaredleto.htm | /people/chart/?view=Actor&id=jaicourtney.htm | /people/chart/?view=Actor&id=caradelevigne.htm | /people/chart/?view=Actor&id=violadavis.htm | /people/chart/?view=Actor&id=commonactor.htm | /people/chart/?view=Actor&id=benaffleck.htm | ,Charles Roven | Deborah Snyder | Zack Snyder | Colin Wilson | ,/people/chart/?view=Producer&id=charlesroven.htm | /people/chart/?view=Producer&id=deborahsnyder.htm | /people/chart/?view=Producer&id=zacksnyder.htm | /people/chart/?view=Producer&id=colinwilson.htm | ,,,Steven Price | ,/people/chart/?view=Composer&id=stevenprice.htm | 
11,Moana,http://www.boxofficemojo.com//movies/?id=disney1116.htm,248757044,3875,56631401,3875,11/23,4/27,N/A,BV,Animation,1 hrs. 43 min.,PG,,,,,Dwayne Johnson | Jemaine Clement | ,/people/chart/?view=Actor&id=rock.htm | /people/chart/?view=Actor&id=jemaineclement.htm | ,,,,,,
13,Doctor Strange,http://www.boxofficemojo.com//movies/?id=marvel716.htm,232641920,3882,85058311,3882,11/4,3/16,$165 million,BV,Action / Adventure,1 hrs. 55 min.,PG-13,Scott Derrickson | ,/people/chart/?view=Director&id=scottderrickson.htm | ,Jon Spaihts | Scott Derrickson | C. Robert Cargill | ,/people/chart/?view=Writer&id=jonspaihts.htm | /people/chart/?view=Writer&id=scottderrickson.htm | /people/chart/?view=Writer&id=crobertcargill.htm | ,Benedict Cumberbatch | Tilda Swinton | Chiwetel Ejiofor | Rachel McAdams | Mads Mikkelsen | ,/people/chart/?view=Actor&id=benedictcumberbatch.htm | /people/chart/?view=Actor&id=tildaswinton.htm | /people/chart/?view=Actor&id=chiwetelejiofor.htm | /people/chart/?view=Actor&id=rachelmcadams.htm | /people/chart/?view=Actor&id=madsmikkelsen.htm | ,Kevin Feige | ,/people/chart/?view=Producer&id=kevinfeige.htm | ,,,Michael Giacchino | ,/people/chart/?view=Composer&id=michaelgiacchino.htm | 
15,Jason Bourne,http://www.boxofficemojo.com//movies/?id=bourne5.htm,162434410,4039,59215365,4026,7/29,12/22,$120 million,Uni.,Action,2 hrs. 3 min.,PG-13,Paul Greengrass | ,/people/chart/?view=Director&id=paulgreengrass.htm | ,,,Matt Damon | Tommy Lee Jones | Julia Stiles | Alicia Vikander | ,/people/chart/?view=Actor&id=mattdamon.htm | /people/chart/?view=Actor&id=tommyleejones.htm | /people/chart/?view=Actor&id=juliastiles.htm | /people/chart/?view=Actor&id=aliciavikander.htm | ,Matt Damon | Paul Greengrass | Frank Marshall | ,/people/chart/?view=Producer&id=mattdamon.htm | /people/chart/?view=Producer&id=paulgreengrass.htm | /people/chart/?view=Producer&id=frankmarshall.htm | ,,,David Buckley | John Powell | ,/people/chart/?view=Composer&id=davidbuckley.htm | /people/chart/?view=Composer&id=johnpowell.htm | 
17,X-Men: Apocalypse,http://www.boxofficemojo.com//movies/?id=x-men2016.htm,155442489,4153,65769562,4150,5/27,7/28,$178 million,Fox,Action / Adventure,2 hrs. 23 min.,PG-13,Bryan Singer | ,/people/chart/?view=Director&id=bryansinger.htm | ,Simon Kinberg | ,/people/chart/?view=Writer&id=simonkinberg.htm | ,James McAvoy | Michael Fassbender | Jennifer Lawrence | Oscar Isaac | Nicholas Hoult | Rose Byrne | Tye Sheridan | Kodi Smit-McPhee | Hugh Jackman* | ,/people/chart/?view=Actor&id=jamesmcavoy.htm | /people/chart/?view=Actor&id=michaelfassbender.htm | /people/chart/?view=Actor&id=jenniferlawrence.htm | /people/chart/?view=Actor&id=oscarisaac.htm | /people/chart/?view=Actor&id=nicholashoult.htm | /people/chart/?view=Actor&id=rosebyrne.htm | /people/chart/?view=Actor&id=tyesheridan.htm | /people/chart/?view=Actor&id=kodismitmcphee.htm | /people/chart/?view=Actor&id=hughjackman.htm | ,Lauren Schuler Donner | Simon Kinberg | Hutch Parker | Bryan Singer | ,/people/chart/?view=Producer&id=laurenschulerdonner.htm | /people/chart/?view=Producer&id=simonkinberg.htm | /people/chart/?view=Producer&id=hutchparker.htm | /people/chart/?view=Producer&id=bryansinger.htm | ,,,,
19,La La Land,http://www.boxofficemojo.com//movies/?id=lalaland.htm,151101803,3236,881104,5,12/25,4/27,$30 million,LG/S,Musical,2 hrs. 8 min.,PG-13,Damien Chazelle | ,/people/chart/?view=Director&id=damienchazelle.htm | ,Damien Chazelle | ,/people/chart/?view=Writer&id=damienchazelle.htm | ,Ryan Gosling | Emma Stone | ,/people/chart/?view=Actor&id=ryangosling.htm | /people/chart/?view=Actor&id=emmastone.htm | ,Marc Platt | ,/people/chart/?view=Producer&id=marcplatt.htm | ,,,,
21,Ghostbusters (2016),http://www.boxofficemojo.com//movies/?id=ghostbusters2016.htm,128350574,3963,46018755,3963,7/15,11/10,$144 million,Sony,Horror Comedy,1 hrs. 48 min.,PG-13,Paul Feig | ,/people/chart/?view=Director&id=paulfeig.htm | ,Katie Dippold | Paul Feig | ,/people/chart/?view=Writer&id=katiedippold.htm | /people/chart/?view=Writer&id=paulfeig.htm | ,Sigourney Weaver* | Melissa McCarthy | Kristen Wiig | Michael K. Williams | Chris Hemsworth | ,/people/chart/?view=Actor&id=sigourneyweaver.htm | /people/chart/?view=Actor&id=melissamccarthy.htm | /people/chart/?view=Actor&id=kristenwiig.htm | /people/chart/?view=Actor&id=michaelkwilliams.htm | /people/chart/?view=Actor&id=chrishemsworth.htm | ,Ivan Reitman | ,/people/chart/?view=Producer&id=ivanreitman.htm | ,,,,
23,The Legend of Tarzan,http://www.boxofficemojo.com//movies/?id=tarzan2016.htm,126643061,3591,38527856,3561,7/1,9/15,$180 million,WB,Action / Adventure,1 hrs. 49 min.,PG-13,David Yates | ,/people/chart/?view=Director&id=davidyates.htm | ,,,Alexander Skarsgård | Samuel L. Jackson | Margot Robbie | Christoph Waltz | Djimon Hounsou | ,/people/chart/?view=Actor&id=alexanderskarsgard.htm | /people/chart/?view=Actor&id=samuelljackson.htm | /people/chart/?view=Actor&id=margotrobbie.htm | /people/chart/?view=Actor&id=christophwaltz.htm | /people/chart/?view=Actor&id=djimonhounsou.htm | ,,,,,Rupert Gregson-Williams | ,/people/chart/?view=Composer&id=rupertgregsonwilliams.htm | 
25,Bad Moms,http://www.boxofficemojo.com//movies/?id=untitledlucasmoore.htm,113257297,3215,23817340,3215,7/29,10/27,$20 million,STX,Comedy,1 hrs. 41 min.,R,Jon Lucas | Scott Moore | ,/people/chart/?view=Director&id=jonlucas.htm | /people/chart/?view=Director&id=scottmoore.htm | ,Jon Lucas | Scott Moore | ,/people/chart/?view=Writer&id=jonlucas.htm | /people/chart/?view=Writer&id=scottmoore.htm | ,Mila Kunis | Kristen Bell | Christina Applegate | Jada Pinkett-Smith | Clark Duke | ,/people/chart/?view=Actor&id=milakunis.htm | /people/chart/?view=Actor&id=kristenbell.htm | /people/chart/?view=Actor&id=christinaapplegate.htm | /people/chart/?view=Actor&id=jadapinkett.htm | /people/chart/?view=Actor&id=clarkduke.htm | ,,,,,,
