link,rank,name,name_link,adjust_gross,unadjust_gross,open_date
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,1,The Hunger Games: Catching Fire,http://www.boxofficemojo.com//movies/?id=catchingfire.htm,456453800,424668047,11/22/13
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,3,The Hunger Games: Mockingjay - Part 2,http://www.boxofficemojo.com//movies/?id=hungergames4.htm,289346300,281723902,11/20/15
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,4,Stepmom,http://www.boxofficemojo.com//movies/?id=stepmom.htm,165388400,91137662,12/25/98
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,5,For Love of the Game,http://www.boxofficemojo.com//movies/?id=forloveofthegame.htm,61857200,35188640,9/17/99
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,7,Sucker Punch,http://www.boxofficemojo.com//movies/?id=suckerpunch.htm,41346700,36392502,3/25/11
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,8,Life as a House,http://www.boxofficemojo.com//movies/?id=lifeasahouse.htm,24718900,15667270,10/26/01
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,10,The Ruins,http://www.boxofficemojo.com//movies/?id=ruins.htm,21681800,17432844,4/4/08
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,12,Inherent Vice,http://www.boxofficemojo.com//movies/?id=inherentvice.htm,8901900,8110975,12/12/14
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,13,The Dangerous Lives of Altar Boys,http://www.boxofficemojo.com//movies/?id=dangerouslivesofaltarboys.htm,2791000,1815864,6/14/02
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,15,Donnie Darko (2017 Re-Release),http://www.boxofficemojo.com//movies/?id=donniedarko2017.htm,2106800,1478493,3/31/17
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,17,The Messenger,http://www.boxofficemojo.com//movies/?id=messenger09.htm,1278300,1109660,11/13/09
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,19,Time Out of Mind,http://www.boxofficemojo.com//movies/?id=timeoutofmind.htm,174900,166775,9/9/15
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,21,Lovesong,http://www.boxofficemojo.com//movies/?id=lovesong.htm,10700,10626,2/17/17
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,23,The Wait,http://www.boxofficemojo.com//movies/?id=wait.htm,2800,2480,1/10/14
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,2,The Hunger Games: Mockingjay - Part 1,http://www.boxofficemojo.com//movies/?id=hungergames3.htm,363691200,337135885,11/21/14
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,6,Pride and Prejudice,http://www.boxofficemojo.com//movies/?id=prideandprejudice05.htm,53335200,38405088,11/11/05
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,9,Into the Wild,http://www.boxofficemojo.com//movies/?id=intothewild.htm,23742500,18354356,9/21/07
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,11,Saved!,http://www.boxofficemojo.com//movies/?id=saved.htm,12856600,8940582,5/28/04
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,14,Donnie Darko,http://www.boxofficemojo.com//movies/?id=donniedarko.htm,2106800,1478493,10/26/01
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,16,The Neon Demon,http://www.boxofficemojo.com//movies/?id=theneondemon.htm,1373500,1333124,6/24/16
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,18,The United States of Leland,http://www.boxofficemojo.com//movies/?id=unitedstatesofleland.htm,494500,343847,4/2/04
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,20,The Go-Getter,http://www.boxofficemojo.com//movies/?id=gogetter.htm,14800,11931,6/6/08
http://www.boxofficemojo.com/people/chart/?view=Actor&id=jenamalone.htm,22,In Our Nature,http://www.boxofficemojo.com//movies/?id=inournature.htm,7300,6543,12/7/12
http://www.boxofficemojo.com/people/chart/?view=Director&id=mortentyldum.htm,1,Passengers (2016),http://www.boxofficemojo.com//movies/?id=passengers2016.htm,101290800,100014699,12/21/16
http://www.boxofficemojo.com/people/chart/?view=Director&id=mortentyldum.htm,3,Headhunters,http://www.boxofficemojo.com//movies/?id=headhunters.htm,1328500,1200010,4/27/12
http://www.boxofficemojo.com/people/chart/?view=Director&id=mortentyldum.htm,2,The Imitation Game,http://www.boxofficemojo.com//movies/?id=imitationgame.htm,100004000,91125683,11/28/14
http://www.boxofficemojo.com/people/chart/?view=Director&id=mortentyldum.htm,4,Fallen Angels,http://www.boxofficemojo.com//movies/?id=fallenangels.htm,310600,163145,1/21/98
http://www.boxofficemojo.com/people/chart/?view=Actor&id=johncreilly.htm,1,Guardians of the Galaxy,http://www.boxofficemojo.com//movies/?id=marvel2014a.htm,367715700,333176600,8/1/14
http://www.boxofficemojo.com/people/chart/?view=Actor&id=johncreilly.htm,3,Sing,http://www.boxofficemojo.com//movies/?id=illumination2016.htm,273784800,270329045,12/21/16
http://www.boxofficemojo.com/people/chart/?view=Actor&id=johncreilly.htm,5,Wreck-It Ralph,http://www.boxofficemojo.com//movies/?id=rebootralph.htm,210339300,189422889,11/2/12
http://www.boxofficemojo.com/people/chart/?view=Actor&id=johncreilly.htm,7,Kong: Skull Island,http://www.boxofficemojo.com//movies/?id=legendary2016.htm,169403700,168052812,3/10/17
http://www.boxofficemojo.com/people/chart/?view=Actor&id=johncreilly.htm,9,Gangs of New York,http://www.boxofficemojo.com//movies/?id=gangsofnewyork.htm,116295200,77812000,12/20/02
