RankinBoxOffice,TitleinBoxOffice,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story - World Premiere,2016,tt6323140,7.4,576,movie,N/A,N/A,89 min,True,10 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.4/10'}],N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZWMyOThiOTMtYjE3MS00ZTVlLTllY2EtOTMxN2MzM2RlMDFmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,N/A,N/A,English,Reality-TV| Sci-Fi,N/A,N/A,USA,N/A,N/A,Anthony Carboni| Andi Gutierrez| David W. Collins| Peter Townley
3,Captain America: Civil War,Captain America: Civil War,2016,tt3498820,7.9,"451,386",movie,http://marvel.com/captainamerica#/home,Christopher Markus (screenplay by)| Stephen McFeely (screenplay by)| Joe Simon (based on the Marvel comics by)| Jack Kirby (based on the Marvel comics by),147 min,True,06 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '91%'}| {'Source': 'Metacritic'| 'Value': '75/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,75,"English, German, Xhosa, Russian, Romanian, Hindi",Action| Adventure| Sci-Fi,Anthony Russo| Joe Russo,13 Sep 2016,"USA, Germany","$408,080,554",16 wins & 63 nominations.,Chris Evans| Robert Downey Jr.| Scarlett Johansson| Sebastian Stan
5,The Jungle Book (2016),error
7,Zootopia,Zootopia,2016,tt2948356,8.0,"320,880",movie,http://movies.disney.com/zootopia,Byron Howard (story by)| Rich Moore (story by)| Jared Bush (story by)| Jim Reardon (story by)| Josie Trinidad (story by)| Phil Johnston (story by)| Jennifer Lee (story by)| Jared Bush (screenplay by)| Phil Johnston (screenplay by),108 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '98%'}| {'Source': 'Metacritic'| 'Value': '78/100'}],PG,Walt Disney Animation Studios,https://images-na.ssl-images-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",78,English,Animation| Adventure| Comedy,Byron Howard| Rich Moore| Jared Bush(co-director),07 Jun 2016,USA,"$341,264,012",Won 1 Oscar. Another 42 wins & 65 nominations.,Ginnifer Goodwin| Jason Bateman| Idris Elba| Jenny Slate
9,Suicide Squad,Suicide Squad,2016,tt1386697,6.2,"446,021",movie,http://www.suicidesquad.com/,David Ayer,123 min,True,05 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '26%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SX300.jpg,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,40,"English, Japanese, Spanish",Action| Adventure| Fantasy,David Ayer,13 Dec 2016,USA,"$325,021,779",Won 1 Oscar. Another 15 wins & 36 nominations.,Will Smith| Jaime FitzSimons| Ike Barinholtz| Margot Robbie
11,Moana,Moana,2016,tt3521164,7.6,"161,930",movie,http://movies.disney.com/moana,Jared Bush (screenplay by)| Ron Clements (story by)| John Musker (story by)| Chris Williams (story by)| Don Hall (story by)| Pamela Ribon (story by)| Aaron Kandell (story by)| Jordan Kandell (story by),107 min,True,23 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '96%'}| {'Source': 'Metacritic'| 'Value': '81/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",81,English,Animation| Adventure| Comedy,Ron Clements| John Musker| Don Hall(co-director)| Chris Williams(co-director),07 Mar 2017,USA,"$248,752,120",Nominated for 2 Oscars. Another 16 wins & 79 nominations.,Auli'i Cravalho| Dwayne Johnson| Rachel House| Temuera Morrison
13,Doctor Strange,Doctor Strange,2016,tt1211837,7.5,"358,456",movie,http://marvel.com/doctorstrange,Jon Spaihts| Scott Derrickson| C. Robert Cargill| Stan Lee (based on the Marvel comics by)| Steve Ditko (based on the Marvel comics by),115 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '89%'}| {'Source': 'Metacritic'| 'Value': '72/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",72,English,Action| Adventure| Fantasy,Scott Derrickson,28 Feb 2017,USA,"$232,630,718",Nominated for 1 Oscar. Another 17 wins & 63 nominations.,Benedict Cumberbatch| Chiwetel Ejiofor| Rachel McAdams| Benedict Wong
15,Jason Bourne,Jason Bourne,2016,tt4196776,6.7,"165,127",movie,http://www.jasonbournemovie.com/,Paul Greengrass| Christopher Rouse| Robert Ludlum (based on characters created by),123 min,True,29 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '56%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Universal,https://images-na.ssl-images-amazon.com/images/M/MV5BNGJlYjVkMjQtN2NlZC00NTJhLThmZjItMTRlZDczMmE3YmI3XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,58,"English, Greek, German",Action| Thriller,Paul Greengrass,06 Dec 2016,"UK, China, USA","$162,162,120",2 wins & 18 nominations.,Matt Damon| Tommy Lee Jones| Alicia Vikander| Vincent Cassel
17,X-Men: Apocalypse,X-Men: Apocalypse,2016,tt3385516,7.0,"300,654",movie,https://www.facebook.com/xmenmovies,Simon Kinberg (screenplay by)| Bryan Singer (story by)| Simon Kinberg (story by)| Michael Dougherty (story by)| Dan Harris (story by),144 min,True,27 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '48%'}| {'Source': 'Metacritic'| 'Value': '52/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SX300.jpg,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",52,"English, Polish, German, Arabic, Egyptian (Ancient)",Action| Adventure| Sci-Fi,Bryan Singer,04 Oct 2016,USA,"$135,729,385",14 nominations.,James McAvoy| Michael Fassbender| Jennifer Lawrence| Nicholas Hoult
19,La La Land,La La Land,2016,tt3783958,8.1,"322,878",movie,http://www.lalaland.movie/,Damien Chazelle,128 min,True,25 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '92%'}| {'Source': 'Metacritic'| 'Value': '93/100'}],PG-13,Liongate Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",93,English,Comedy| Drama| Music,Damien Chazelle,25 Apr 2017,"USA, Hong Kong","$151,058,124",Won 6 Oscars. Another 209 wins & 249 nominations.,Ryan Gosling| Emma Stone| Amiée Conn| Terry Walters
