,rank,name,name_link,budget,studio,total_gross,total_thea,open_gross,open_thea,open_date,close_date,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
0,1,Rogue One: A Star Wars Story,http://www.boxofficemojo.com//movies/?id=starwars2016.htm,$200 million,BV,532177324,4157,155081681.0,4157.0,12/16,5/4,Rogue One,2016,tt3748528,7.9,"373,473",movie,http://www.starwars.com/,Chris Weitz (screenplay by)| Tony Gilroy (screenplay by)| John Knoll (story by)| Gary Whitta (story by)| George Lucas (based on characters created by),133 min,True,16 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '85%'}| {'Source': 'Metacritic'| 'Value': '65/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,65.0,English,Action| Adventure| Sci-Fi,Gareth Edwards,04 Apr 2017,USA,"$532,171,696",Nominated for 2 Oscars. Another 21 wins & 77 nominations.,Felicity Jones| Diego Luna| Alan Tudyk| Donnie Yen
1,3,Captain America: Civil War,http://www.boxofficemojo.com//movies/?id=marvel2016.htm,$250 million,BV,408084349,4226,179139142.0,4226.0,5/6,9/22,Captain America: Civil War,2016,tt3498820,7.9,"451,386",movie,http://marvel.com/captainamerica#/home,Christopher Markus (screenplay by)| Stephen McFeely (screenplay by)| Joe Simon (based on the Marvel comics by)| Jack Kirby (based on the Marvel comics by),147 min,True,06 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '91%'}| {'Source': 'Metacritic'| 'Value': '75/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,75.0,"English, German, Xhosa, Russian, Romanian, Hindi",Action| Adventure| Sci-Fi,Anthony Russo| Joe Russo,13 Sep 2016,"USA, Germany","$408,080,554",16 wins & 63 nominations.,Chris Evans| Robert Downey Jr.| Scarlett Johansson| Sebastian Stan
2,5,The Jungle Book (2016),http://www.boxofficemojo.com//movies/?id=junglebook2015.htm,$175 million,BV,364001123,4144,103261464.0,4028.0,4/15,9/29,The Jungle Book,2016,tt3040964,7.5,"211,530",movie,http://movies.disney.com/the-jungle-book-2016,Justin Marks (screenplay by)| Rudyard Kipling (based on the books by),106 min,True,15 Apr 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '95%'}| {'Source': 'Metacritic'| 'Value': '77/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",77.0,English,Adventure| Drama| Family,Jon Favreau,30 Aug 2016,"UK, USA","$363,995,937",Won 1 Oscar. Another 30 wins & 52 nominations.,Neel Sethi| Bill Murray| Ben Kingsley| Idris Elba
3,7,Zootopia,http://www.boxofficemojo.com//movies/?id=disney2016.htm,,BV,341268248,3959,75063401.0,3827.0,3/4,8/4,Zootopia,2016,tt2948356,8.0,"320,880",movie,http://movies.disney.com/zootopia,Byron Howard (story by)| Rich Moore (story by)| Jared Bush (story by)| Jim Reardon (story by)| Josie Trinidad (story by)| Phil Johnston (story by)| Jennifer Lee (story by)| Jared Bush (screenplay by)| Phil Johnston (screenplay by),108 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '98%'}| {'Source': 'Metacritic'| 'Value': '78/100'}],PG,Walt Disney Animation Studios,https://images-na.ssl-images-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",78.0,English,Animation| Adventure| Comedy,Byron Howard| Rich Moore| Jared Bush(co-director),07 Jun 2016,USA,"$341,264,012",Won 1 Oscar. Another 42 wins & 65 nominations.,Ginnifer Goodwin| Jason Bateman| Idris Elba| Jenny Slate
4,9,Suicide Squad,http://www.boxofficemojo.com//movies/?id=dc2016.htm,$175 million,WB,325100054,4255,133682248.0,4255.0,8/5,11/10,Suicide Squad,2016,tt1386697,6.2,"446,021",movie,http://www.suicidesquad.com/,David Ayer,123 min,True,05 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '26%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],PG-13,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SX300.jpg,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,40.0,"English, Japanese, Spanish",Action| Adventure| Fantasy,David Ayer,13 Dec 2016,USA,"$325,021,779",Won 1 Oscar. Another 15 wins & 36 nominations.,Will Smith| Jaime FitzSimons| Ike Barinholtz| Margot Robbie
5,11,Moana,http://www.boxofficemojo.com//movies/?id=disney1116.htm,,BV,248757044,3875,56631401.0,3875.0,11/23,4/27,Moana,2016,tt3521164,7.6,"161,930",movie,http://movies.disney.com/moana,Jared Bush (screenplay by)| Ron Clements (story by)| John Musker (story by)| Chris Williams (story by)| Don Hall (story by)| Pamela Ribon (story by)| Aaron Kandell (story by)| Jordan Kandell (story by),107 min,True,23 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.6/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '96%'}| {'Source': 'Metacritic'| 'Value': '81/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",81.0,English,Animation| Adventure| Comedy,Ron Clements| John Musker| Don Hall(co-director)| Chris Williams(co-director),07 Mar 2017,USA,"$248,752,120",Nominated for 2 Oscars. Another 16 wins & 79 nominations.,Auli'i Cravalho| Dwayne Johnson| Rachel House| Temuera Morrison
6,13,Doctor Strange,http://www.boxofficemojo.com//movies/?id=marvel716.htm,$165 million,BV,232641920,3882,85058311.0,3882.0,11/4,3/16,Doctor Strange,2016,tt1211837,7.5,"358,456",movie,http://marvel.com/doctorstrange,Jon Spaihts| Scott Derrickson| C. Robert Cargill| Stan Lee (based on the Marvel comics by)| Steve Ditko (based on the Marvel comics by),115 min,True,04 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '89%'}| {'Source': 'Metacritic'| 'Value': '72/100'}],PG-13,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_SX300.jpg,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",72.0,English,Action| Adventure| Fantasy,Scott Derrickson,28 Feb 2017,USA,"$232,630,718",Nominated for 1 Oscar. Another 17 wins & 63 nominations.,Benedict Cumberbatch| Chiwetel Ejiofor| Rachel McAdams| Benedict Wong
7,15,Jason Bourne,http://www.boxofficemojo.com//movies/?id=bourne5.htm,$120 million,Uni.,162434410,4039,59215365.0,4026.0,7/29,12/22,Jason Bourne,2016,tt4196776,6.7,"165,127",movie,http://www.jasonbournemovie.com/,Paul Greengrass| Christopher Rouse| Robert Ludlum (based on characters created by),123 min,True,29 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '56%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,Universal,https://images-na.ssl-images-amazon.com/images/M/MV5BNGJlYjVkMjQtN2NlZC00NTJhLThmZjItMTRlZDczMmE3YmI3XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,58.0,"English, Greek, German",Action| Thriller,Paul Greengrass,06 Dec 2016,"UK, China, USA","$162,162,120",2 wins & 18 nominations.,Matt Damon| Tommy Lee Jones| Alicia Vikander| Vincent Cassel
8,17,X-Men: Apocalypse,http://www.boxofficemojo.com//movies/?id=x-men2016.htm,$178 million,Fox,155442489,4153,65769562.0,4150.0,5/27,7/28,X-Men: Apocalypse,2016,tt3385516,7.0,"300,654",movie,https://www.facebook.com/xmenmovies,Simon Kinberg (screenplay by)| Bryan Singer (story by)| Simon Kinberg (story by)| Michael Dougherty (story by)| Dan Harris (story by),144 min,True,27 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '48%'}| {'Source': 'Metacritic'| 'Value': '52/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SX300.jpg,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",52.0,"English, Polish, German, Arabic, Egyptian (Ancient)",Action| Adventure| Sci-Fi,Bryan Singer,04 Oct 2016,USA,"$135,729,385",14 nominations.,James McAvoy| Michael Fassbender| Jennifer Lawrence| Nicholas Hoult
9,19,La La Land,http://www.boxofficemojo.com//movies/?id=lalaland.htm,$30 million,LG/S,151101803,3236,881104.0,5.0,12/25,4/27,La La Land,2016,tt3783958,8.1,"322,878",movie,http://www.lalaland.movie/,Damien Chazelle,128 min,True,25 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.1/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '92%'}| {'Source': 'Metacritic'| 'Value': '93/100'}],PG-13,Liongate Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",93.0,English,Comedy| Drama| Music,Damien Chazelle,25 Apr 2017,"USA, Hong Kong","$151,058,124",Won 6 Oscars. Another 209 wins & 249 nominations.,Ryan Gosling| Emma Stone| Amiée Conn| Terry Walters
