rank,moviename,meta_movie_name,release_date,total_score,num_crit,positive,mixed,negative,iscore,source,source_link,author,author_link,date,summary
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,100,Total Film,http://www.metacritic.com//publication/total-film?filter=movies,Matt Maytum,http://www.metacritic.com//critic/matt-maytum?filter=movies,"Dec 13, 2016","Rogue One might trade heavily in nostalgia but it's bold enough to take risks, and will leave you stirred, fired up and raring for more. Now, if only there was a follow-up we could go away and watch immediately…"
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,100,New York Daily News,http://www.metacritic.com//publication/new-york-daily-news?filter=movies,Ethan Sacks,http://www.metacritic.com//critic/ethan-sacks?filter=movies,"Dec 13, 2016","It stands alone as the best ""Star Wars"" entry since 1980's ""The Empire Strikes Back."" Yes, it's that good."
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,90,Screen International,http://www.metacritic.com//publication/screen-international?filter=movies,Tim Grierson,http://www.metacritic.com//critic/tim-grierson?filter=movies,"Dec 13, 2016","Perhaps the darkest, most action-packed Star Wars instalment, director Gareth Edwards’ standalone adventure establishes its own rhythm, balancing fan demands with grand, poetic moments unlike anything this cinematic galaxy has previously achieved."
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,88,St. Louis Post-Dispatch,http://www.metacritic.com//publication/st-louis-post-dispatch?filter=movies,Calvin Wilson,http://www.metacritic.com//critic/calvin-wilson?filter=movies,"Dec 15, 2016",Rogue One spins “Star Wars” into a whole new orbit.
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,88,RogerEbert.com,http://www.metacritic.com//publication/rogerebertcom?filter=movies,Matt Zoller Seitz,http://www.metacritic.com//critic/matt-zoller-seitz?filter=movies,"Dec 13, 2016","Rogue One is a letdown in other areas, and there are creative decisions so ill-conceived they take you out of the story. But somehow these aren't enough to sink the movie, which manages to succeed as both super-nerdy fan service and the first entry since the 1977 original that will satisfy people who have never seen a ""Star Wars"" film."
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,88,Chicago Sun-Times,http://www.metacritic.com//publication/chicago-sun-times?filter=movies,Richard Roeper,http://www.metacritic.com//critic/richard-roeper?filter=movies,"Dec 13, 2016","This is a very “Star Wars”-y “Star Wars” movie. It’s not quite on the level of the original or “The Empire Strikes Back” (the best of ’em all, of course), but it’s on a par with last year’s “The Force Awakens” and it’s light years above “Attack of the Clones” and “The Phantom Menace.”"
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,88,Rolling Stone,http://www.metacritic.com//publication/rolling-stone?filter=movies,Peter Travers,http://www.metacritic.com//critic/peter-travers?filter=movies,"Dec 13, 2016","With the smashing Jones giving us a female warrior to rank with the great ones and a cast that knows how to keep it real even in a sci-fi fantasy, Rogue One proves itself a Star Wars story worth telling."
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,83,Entertainment Weekly,http://www.metacritic.com//publication/entertainment-weekly?filter=movies,Chris Nashawaty,http://www.metacritic.com//critic/chris-nashawaty?filter=movies,"Dec 13, 2016",Rogue One would have been a very good stand-alone sci-fi movie if it came out under a different name. But what makes it especially exciting is how it perfectly snaps right into the Star Wars timeline and connects events we already know by heart with ones that we never even considered.
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,83,The Playlist,http://www.metacritic.com//publication/the-playlist?filter=movies,Rodrigo Perez,http://www.metacritic.com//critic/rodrigo-perez?filter=movies,"Dec 13, 2016","Rogue One is a very good “Star Wars” film, frustratingly though, it falls short of being a truly great one."
1,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,"December 16, 2016",65,51,35,13,3,80,The Verge,http://www.metacritic.com//publication/the-verge?filter=movies,Bryan Bishop,http://www.metacritic.com//critic/bryan-bishop?filter=movies,"Dec 13, 2016","The film soars when it abandons all pretense of being a space opera, and fully embraces the bombastic modern action movie that’s at its core, giving it a unique identity that does indeed stand apart from other entries in the series."
