,author,author_link,date,iscore,meta_movie_name,mixed,moviename,moviename_x,negative,num_crit,positive,rank,release_date,source,source_link,summary,total_score
0,Matt Maytum,http://www.metacritic.com//critic/matt-maytum?filter=movies,"Dec 13, 2016",100.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Total Film,http://www.metacritic.com//publication/total-film?filter=movies,"Rogue One might trade heavily in nostalgia but it's bold enough to take risks, and will leave you stirred, fired up and raring for more. Now, if only there was a follow-up we could go away and watch immediately…",65
1,Ethan Sacks,http://www.metacritic.com//critic/ethan-sacks?filter=movies,"Dec 13, 2016",100.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",New York Daily News,http://www.metacritic.com//publication/new-york-daily-news?filter=movies,"It stands alone as the best ""Star Wars"" entry since 1980's ""The Empire Strikes Back."" Yes, it's that good.",65
2,Tim Grierson,http://www.metacritic.com//critic/tim-grierson?filter=movies,"Dec 13, 2016",90.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Screen International,http://www.metacritic.com//publication/screen-international?filter=movies,"Perhaps the darkest, most action-packed Star Wars instalment, director Gareth Edwards’ standalone adventure establishes its own rhythm, balancing fan demands with grand, poetic moments unlike anything this cinematic galaxy has previously achieved.",65
3,Calvin Wilson,http://www.metacritic.com//critic/calvin-wilson?filter=movies,"Dec 15, 2016",88.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",St. Louis Post-Dispatch,http://www.metacritic.com//publication/st-louis-post-dispatch?filter=movies,Rogue One spins “Star Wars” into a whole new orbit.,65
4,Matt Zoller Seitz,http://www.metacritic.com//critic/matt-zoller-seitz?filter=movies,"Dec 13, 2016",88.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",RogerEbert.com,http://www.metacritic.com//publication/rogerebertcom?filter=movies,"Rogue One is a letdown in other areas, and there are creative decisions so ill-conceived they take you out of the story. But somehow these aren't enough to sink the movie, which manages to succeed as both super-nerdy fan service and the first entry since the 1977 original that will satisfy people who have never seen a ""Star Wars"" film.",65
5,Richard Roeper,http://www.metacritic.com//critic/richard-roeper?filter=movies,"Dec 13, 2016",88.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Chicago Sun-Times,http://www.metacritic.com//publication/chicago-sun-times?filter=movies,"This is a very “Star Wars”-y “Star Wars” movie. It’s not quite on the level of the original or “The Empire Strikes Back” (the best of ’em all, of course), but it’s on a par with last year’s “The Force Awakens” and it’s light years above “Attack of the Clones” and “The Phantom Menace.”",65
6,Peter Travers,http://www.metacritic.com//critic/peter-travers?filter=movies,"Dec 13, 2016",88.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Rolling Stone,http://www.metacritic.com//publication/rolling-stone?filter=movies,"With the smashing Jones giving us a female warrior to rank with the great ones and a cast that knows how to keep it real even in a sci-fi fantasy, Rogue One proves itself a Star Wars story worth telling.",65
7,Chris Nashawaty,http://www.metacritic.com//critic/chris-nashawaty?filter=movies,"Dec 13, 2016",83.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Entertainment Weekly,http://www.metacritic.com//publication/entertainment-weekly?filter=movies,Rogue One would have been a very good stand-alone sci-fi movie if it came out under a different name. But what makes it especially exciting is how it perfectly snaps right into the Star Wars timeline and connects events we already know by heart with ones that we never even considered.,65
8,Rodrigo Perez,http://www.metacritic.com//critic/rodrigo-perez?filter=movies,"Dec 13, 2016",83.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Playlist,http://www.metacritic.com//publication/the-playlist?filter=movies,"Rogue One is a very good “Star Wars” film, frustratingly though, it falls short of being a truly great one.",65
9,Bryan Bishop,http://www.metacritic.com//critic/bryan-bishop?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Verge,http://www.metacritic.com//publication/the-verge?filter=movies,"The film soars when it abandons all pretense of being a space opera, and fully embraces the bombastic modern action movie that’s at its core, giving it a unique identity that does indeed stand apart from other entries in the series.",65
10,Daniel Green,http://www.metacritic.com//critic/daniel-green?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",CineVue,http://www.metacritic.com//publication/cinevue?filter=movies,"A minor miracle in and of itself, Edwards' Rogue One somehow delivers on almost all of its weighty pre-release promises whilst at the same time besting The Force Awakens for sheer spectacle and world-building.",65
11,Dave Calhoun,http://www.metacritic.com//critic/dave-calhoun?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Time Out London,http://www.metacritic.com//publication/time-out-london?filter=movies,"This is an imperfect film, bold but occasionally baffling, and one that in its final act grows into something much more exciting than you might initially expect.",65
12,Bill Goodykoontz,http://www.metacritic.com//critic/bill-goodykoontz?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Arizona Republic,http://www.metacritic.com//publication/arizona-republic?filter=movies,"Rogue One stands on its own, an entry that is at once part of the “Star Wars” franchise (obviously) but also separate – a tougher, grittier film.",65
13,James Dyer,,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Empire,http://www.metacritic.com//publication/empire?filter=movies,"The ultimate Star Wars fan film, it’s short on whimsy but when it gets going there’s enough risk-taking and spectacle to bode well for future standalones.",65
14,Todd McCarthy,http://www.metacritic.com//critic/todd-mccarthy?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Hollywood Reporter,http://www.metacritic.com//publication/the-hollywood-reporter?filter=movies,"What fans will get here is loads of action, great effects, good comic relief, stunning locations (Iceland, Jordan and the Maldives) and some intriguing early glimpses of the Galactic Empire as it begins to flex its inter-galactic power.",65
15,Robbie Collin,http://www.metacritic.com//critic/robbie-collin?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Telegraph,http://www.metacritic.com//publication/the-telegraph?filter=movies,"But in its best moments, there’s a yarn-spinning intimacy to it too – an old war story told around a spectacular campfire.",65
16,Peter Bradshaw,http://www.metacritic.com//critic/peter-bradshaw?filter=movies,"Dec 13, 2016",80.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The Guardian,http://www.metacritic.com//publication/the-guardian?filter=movies,This is another really entertaining fantasy with fan-fiction energy and attack.,65
17,Marc Savlov,http://www.metacritic.com//critic/marc-savlov?filter=movies,"Dec 14, 2016",78.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",Austin Chronicle,http://www.metacritic.com//publication/austin-chronicle?filter=movies,"It starts off slow and somewhat clunky, but by the time the mind-blowing third act arrives, it’s all a fan can do not to stand up and cheer.",65
18,James Berardinelli,http://www.metacritic.com//critic/james-berardinelli?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",ReelViews,http://www.metacritic.com//publication/reelviews?filter=movies,Rogue One is a better movie than The Force Awakens - something that elevates it considerably over its “secondary” designation.,65
19,Sara Stewart,http://www.metacritic.com//critic/sara-stewart?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",New York Post,http://www.metacritic.com//publication/new-york-post?filter=movies,"By the time its credits rolled, I was ready to forgive Rogue One any imperfections. Its last 10 minutes are spectacular and dark, with a final flourish that should give any “Star Wars” fan goose bumps — and a new hope that the next main installment will be this good.",65
20,Ignatiy Vishnevetsky,http://www.metacritic.com//critic/ignatiy-vishnevetsky?filter=movies,"Dec 13, 2016",75.0,Rogue One: A Star Wars Story,13.0,,Rogue One: A Star Wars Story,3.0,51.0,35.0,1,"December 16, 2016",The A.V. Club,http://www.metacritic.com//publication/the-av-club?filter=movies,"It has undeniable weaknesses: an underwritten protagonist, a generic villain, a shortage of interesting personalities. (No knock against the large cast, which is mostly very good, but underused.) But in many other respects, it is a better film than last year’s Star Wars: The Force Awakens: leaner, darker, with a distinct visual style and an actual ending that feels like a denial of blockbuster expectations simply because it shows basic narrative integrity.",65
